127.0.0.1 - - [21/Nov/2020:13:18:52 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:18:56 -0300] "GET /HealthTrack/WEB-INF/classes/br/com/fiap/healthtrack/filter/LoginFilter.java HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:10 -0300] "GET /HealthTrack/ HTTP/1.1" 200 5004
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/styles/core.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/plugins/datatables/css/dataTables.bootstrap4.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/styles/style.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/plugins/datatables/css/responsive.bootstrap4.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/styles/icon-font.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/styles/core.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/styles/icon-font.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/scripts/core.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/styles/style.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/plugins/datatables/css/responsive.bootstrap4.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/plugins/datatables/css/dataTables.bootstrap4.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/scripts/script.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/scripts/process.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/scripts/layout-settings.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/images/deskapp-logo.svg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/images/login-page-img.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/scripts/core.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/scripts/script.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/scripts/process.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:11 -0300] "GET /HealthTrack/src/scripts/layout-settings.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/register.jsp HTTP/1.1" 200 8576
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/src/plugins/jquery-steps/jquery.steps.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/src/styles/icon-font.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/src/styles/core.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/src/styles/style.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/src/plugins/datatables/css/dataTables.bootstrap4.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/src/plugins/datatables/css/responsive.bootstrap4.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/src/styles/core.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/src/styles/icon-font.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/src/plugins/datatables/css/dataTables.bootstrap4.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/src/plugins/datatables/css/responsive.bootstrap4.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/src/styles/style.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/src/scripts/core.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/src/scripts/script.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/src/scripts/layout-settings.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/src/scripts/process.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/src/plugins/jquery-steps/jquery.steps.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/src/scripts/steps-setting.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/src/images/deskapp-logo.svg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:15 -0300] "GET /HealthTrack/src/images/register-page-img.png HTTP/1.1" 200 58478
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:16 -0300] "GET /HealthTrack/src/scripts/core.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:16 -0300] "GET /HealthTrack/src/scripts/script.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:16 -0300] "GET /HealthTrack/src/scripts/process.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:16 -0300] "GET /HealthTrack/src/scripts/layout-settings.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:16 -0300] "GET /HealthTrack/src/plugins/jquery-steps/jquery.steps.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:16 -0300] "GET /HealthTrack/src/scripts/steps-setting.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/login.jsp HTTP/1.1" 200 5004
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/styles/style.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/plugins/datatables/css/responsive.bootstrap4.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/plugins/datatables/css/dataTables.bootstrap4.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/styles/icon-font.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/styles/core.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/scripts/core.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/scripts/script.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/scripts/layout-settings.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/scripts/process.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/styles/icon-font.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/styles/core.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/plugins/datatables/css/dataTables.bootstrap4.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/plugins/datatables/css/responsive.bootstrap4.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/styles/style.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/images/deskapp-logo.svg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/images/login-page-img.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/scripts/core.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/scripts/script.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/scripts/process.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:20 -0300] "GET /HealthTrack/src/scripts/layout-settings.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:22 -0300] "GET /HealthTrack/register.jsp HTTP/1.1" 200 8576
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:22 -0300] "GET /HealthTrack/src/plugins/jquery-steps/jquery.steps.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:22 -0300] "GET /HealthTrack/src/styles/icon-font.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:22 -0300] "GET /HealthTrack/src/styles/core.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:22 -0300] "GET /HealthTrack/src/plugins/datatables/css/dataTables.bootstrap4.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:22 -0300] "GET /HealthTrack/src/plugins/datatables/css/responsive.bootstrap4.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:19:22 -0300] "GET /HealthTrack/src/styles/style.css HTTP/1.1" 404 -
